"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"fur","","Fur-Fe2+ DNA-binding transcriptional dual regulator","4","4","1","1","336","","","","446","446","446","O78H9China_03441","O78H9HPVN24_00721","O78H9IMT2125UK_00695","O78US_01457"
"lsrB","","Autoinducer-2 ABC transporter - periplasmic binding protein","4","4","1","1","3757","","","","1022","1022","1022","O78H9China_04599","O78H9HPVN24_01584","O78H9IMT2125UK_01619","O78US_02371"
"pldB","","lysophospholipase L(2)","4","4","1","1","5135","","","","1022","1022","1022","O78H9China_04014","O78H9HPVN24_04078","O78H9IMT2125UK_04154","O78US_04824"
"flgH","","flagellar L-ring protein FlgH; basal-body outer-membrane L (lipopolysaccharide layer) ring protein","4","4","1","1","903","","","","698","698","698","O78H9China_00752","O78H9HPVN24_01184","O78H9IMT2125UK_01199","O78US_01963"
"bluF","","blue light-responsive regulator of BluR","4","4","1","1","844","","","","1211","1211","1211","O78H9China_00814","O78H9HPVN24_01245","O78H9IMT2125UK_01261","O78US_02025"
"group_3257","","hypothetical protein","4","4","1","1","821","","","","569","569","569","O78H9China_04546","O78H9HPVN24_01264","O78H9IMT2125UK_01283","O78US_02045"
"group_3258","","hypothetical protein","4","4","1","1","748","","","","392","392","392","O78H9China_02153","O78H9HPVN24_01343","O78H9IMT2125UK_01363","O78US_02123"
"group_3259","","hypothetical protein","4","4","1","1","248","","","","479","479","479","O78H9China_02320","O78H9HPVN24_02627","O78H9IMT2125UK_02600","O78US_03358"
"yadL","","hypothetical protein","4","4","1","1","4064","","","","311","602","529","O78H9China_01266","O78H9HPVN24_00182","O78H9IMT2125UK_00151","O78US_00872"
"rutE","","putative malonic semialdehyde reductase","4","4","1","1","971","","","","590","590","590","O78H9China_00679","O78H9HPVN24_01114","O78H9IMT2125UK_01124","O78US_01890"
"csgE","","curli transport specificity factor","4","4","1","1","943","","","","389","389","389","O78H9China_00710","O78H9HPVN24_01143","O78H9IMT2125UK_01155","O78US_01921"
"ccmE","","membrane anchored periplasmic heme chaperone CcmE","4","4","1","1","2865","","","","479","479","479","O78H9China_01964","O78H9HPVN24_02335","O78H9IMT2125UK_02343","O78US_03108"
"preA","","NADH-dependent dihydropyrimidine dehydrogenase subunit","4","4","1","1","3594","","","","1235","1235","1235","O78H9China_00378","O78H9HPVN24_02264","O78H9IMT2125UK_02270","O78US_03035"
"lpxA","","UDP-N-acetylglucosamine acyltransferase","4","4","1","1","4013","","","","788","788","788","O78H9China_01220","O78H9HPVN24_00228","O78H9IMT2125UK_00197","O78US_00918"
"group_3265","","hypothetical protein","4","4","1","1","442","","","","776","776","776","O78H9China_01929","O78H9HPVN24_02372","O78H9IMT2125UK_02378","O78US_03142"
"def","","peptide deformylase","4","4","1","1","1905","","","","509","509","509","O78H9China_04751","O78H9HPVN24_03515","O78H9IMT2125UK_03588","O78US_04251"
"potD","","putrescine / spermidine ABC transporter - periplasmic binding protein","4","4","1","1","860","","","","1046","1046","1046","O78H9China_00798","O78H9HPVN24_01229","O78H9IMT2125UK_01245","O78US_02009"
"yhaI","","putative inner membrane protein","4","4","1","1","2070","","","","356","356","356","O78H9China_03091","O78H9HPVN24_03340","O78H9IMT2125UK_03410","O78US_04070"
"ybgD","","putative fimbrial-like adhesin protein","4","4","1","1","368","","","","566","566","566","O78H9China_04390","O78H9HPVN24_00752","O78H9IMT2125UK_00727","O78US_01489"
"yacC","","putative protein","4","4","1","1","3982","","","","308","347","317","O78H9China_01281","O78H9HPVN24_00167","O78H9IMT2125UK_00134","O78US_00857"
"yddM","","putative DNA-binding transcriptional regulator","4","4","1","1","3353","","","","284","284","284","O78H9China_04638","O78H9HPVN24_01544","O78H9IMT2125UK_01574","O78US_02327"
"group_3271","","hypothetical protein","4","4","1","1","2226","","","","1178","1178","1178","O78H9China_03115","O78H9HPVN24_03178","O78H9IMT2125UK_03243","O78US_03905"
"torR_3","","TorR transcriptional dual regulator","4","4","1","1","984","","","","692","692","692","O78H9China_00666","O78H9HPVN24_01101","O78H9IMT2125UK_01111","O78US_01877"
"ydeM_2","","putative anaerobic sulfatase maturation enzyme; predicted DNA-binding transcriptional regulator","4","4","1","1","3329","","","","167","167","167","O78H9China_04619","O78H9HPVN24_01564","O78H9IMT2125UK_01599","O78US_02350"
"xylH","","xylose ABC transporter - membrane subunit","4","4","1","1","1618","","","","1181","1181","1181","O78H9China_03964","O78H9HPVN24_03808","O78H9IMT2125UK_03884","O78US_04551"
"group_3275","","hypothetical protein","4","4","1","1","1349","","","","557","557","557","O78H9China_00895","O78H9HPVN24_04557","O78H9IMT2125UK_04620","O78US_00445"
"group_3276","","hypothetical protein","4","4","1","1","4460","","","","971","971","971","O78H9China_04318","O78H9HPVN24_04700","O78H9IMT2125UK_04764","O78US_00589"
"aceA","","isocitrate lyase monomer","4","4","1","1","4136","","","","1304","1304","1304","O78H9China_01194","O78H9HPVN24_04280","O78H9IMT2125UK_04375","O78US_00188"
"rlmB","","23S rRNA 2'-O-ribose methyltransferase monomer","4","4","1","1","1394","","","","731","731","731","O78H9China_00941","O78H9HPVN24_04511","O78H9IMT2125UK_04573","O78US_00399"
"modA","","molybdate ABC transporter - periplasmic binding protein","4","4","1","1","628","","","","773","773","773","O78H9China_04339","O78H9HPVN24_00810","O78H9IMT2125UK_00778","O78US_01539"
"speE","","spermidine synthase","4","4","1","1","3981","","","","866","890","872","O78H9China_01282","O78H9HPVN24_00166","O78H9IMT2125UK_00133","O78US_00856"
"insA-1","","IS1 protein InsA","4","4","1","1","25","","","","272","272","272","O78H9China_04693","O78H9HPVN24_04204","O78H9IMT2125UK_04295","O78US_00099"
"tehB","","tellurite methyltransferase","4","4","1","1","3292","","","","593","593","593","O78H9China_02001","O78H9HPVN24_01496","O78H9IMT2125UK_01520","O78US_02276"
"kefF","","regulator of KefC-mediated potassium transport and quinone oxidoreductase","4","4","1","1","4262","","","","530","530","530","O78H9China_01362","O78H9HPVN24_00087","O78H9IMT2125UK_00053","O78US_00776"
"ybiO","","mechanosensitive channel YbiO monomer","4","4","1","1","1193","","","","2225","2225","2225","O78H9China_00451","O78H9HPVN24_00883","O78H9IMT2125UK_00854","O78US_01621"
"fimZ_2","","FimZ transcriptional regulator","4","4","1","1","774","","","","650","650","650","O78H9China_04498","O78H9HPVN24_01313","O78H9IMT2125UK_01332","O78US_02093"
"puuP","","putrescine:H+ symporter PuuP","4","4","1","1","3191","","","","1385","1385","1385","O78H9China_02104","O78H9HPVN24_01393","O78H9IMT2125UK_01413","O78US_02172"
"rbsK_1","","ribokinase","4","4","1","1","589","","","","914","914","914","O78H9China_01806","O78H9HPVN24_02555","O78H9IMT2125UK_02508","O78US_03265"
"cheZ","","CheZ","4","4","1","1","3062","","","","644","644","644","O78H9China_00060","O78H9HPVN24_01957","O78H9IMT2125UK_01995","O78US_02762"
"group_3288","","hypothetical protein","4","4","1","1","2202","","","","560","560","560","O78H9China_03140","O78H9HPVN24_03203","O78H9IMT2125UK_03268","O78US_03930"
"yfgJ","","putative protein","4","4","1","1","2633","","","","215","215","215","O78H9China_02262","O78H9HPVN24_02685","O78H9IMT2125UK_02658","O78US_03416"
"aceF","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","4","4","1","1","3975","","","","1679","1892","1838","O78H9China_01288","O78H9HPVN24_00160","O78H9IMT2125UK_00127","O78US_00850"
"asnA","","asparagine synthetase A","4","4","1","1","5204","","","","992","992","992","O78H9China_02570","O78H9HPVN24_04002","O78H9IMT2125UK_04078","O78US_04742"
"ypdA_2","","putative sensory kinase in two-component system with YpdB","4","4","1","1","608","","","","1697","1697","1697","O78H9China_01788","O78H9HPVN24_02573","O78H9IMT2125UK_02527","O78US_03283"
"ispD","","4-diphosphocytidyl-2C-methyl-D-erythritol synthetase monomer","4","4","1","1","2494","","","","710","710","710","O78H9China_03885","O78H9HPVN24_02898","O78H9IMT2125UK_02982","O78US_03644"
"lepA","","elongation factor 4","4","4","1","1","2692","","","","1799","1799","1799","O78H9China_02197","O78H9HPVN24_02748","O78H9IMT2125UK_02723","O78US_03481"
"aroB","","3-dehydroquinate synthase","4","4","1","1","1801","","","","1088","1088","1088","O78H9China_02428","O78H9HPVN24_03619","O78H9IMT2125UK_03693","O78US_04355"
"sspB","","ClpXP protease specificity-enhancing factor","4","4","1","1","1955","","","","497","497","497","O78H9China_02967","O78H9HPVN24_03465","O78H9IMT2125UK_03536","O78US_04193"
"galT","","galactose-1-phosphate uridylyltransferase","4","4","1","1","623","","","","1046","1046","1046","O78H9China_04344","O78H9HPVN24_00805","O78H9IMT2125UK_00773","O78US_01534"
"yidX","","putative lipoprotein","4","4","1","1","5255","","","","656","656","656","O78H9China_02623","O78H9HPVN24_03947","O78H9IMT2125UK_04023","O78US_04689"
"ftsN","","essential cell division protein FtsN","4","4","1","1","33","","","","854","854","854","O78H9China_04082","O78H9HPVN24_04197","O78H9IMT2125UK_04288","O78US_00091"
"epd","","erythrose 4-phosphate dehydrogenase","4","4","1","1","2289","","","","1019","1019","1019","O78H9China_03362","O78H9HPVN24_03106","O78H9IMT2125UK_03198","O78US_03859"
"cirA_1","","outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine","4","4","1","1","3603","","","","1025","1391","1299","O78H9China_00386","O78H9HPVN24_02272","O78H9IMT2125UK_02279","O78US_03043"
"hofB","","protein involved in plasmid replication","4","4","1","1","3967","","","","98","1385","1063","O78H9China_01297","O78H9HPVN24_00151","O78H9IMT2125UK_00118","O78US_00841"
"nrdE","","ribonucleoside-diphosphate reductase 2","4","4","1","1","2564","","","","2144","2144","2144","O78H9China_03806","O78H9HPVN24_02823","O78H9IMT2125UK_02903","O78US_03565"
"bcr","","multidrug efflux transporter Bcr","4","4","1","1","3632","","","","1190","1190","1190","O78H9China_05067","O78H9HPVN24_02301","O78H9IMT2125UK_02308","O78US_03072"
"yecR","","putative protein","4","4","1","1","3082","","","","323","323","323","O78H9China_00081","O78H9HPVN24_01978","O78H9IMT2125UK_02016","O78US_02783"
"fdoI","","formate dehydrogenase-O, gamma subunit","4","4","1","1","86","","","","635","635","635","O78H9China_04127","O78H9HPVN24_04151","O78H9IMT2125UK_04232","O78US_00045"
"yfbK","","putative lipoprotein","4","4","1","1","486","","","","1754","1754","1754","O78H9China_01885","O78H9HPVN24_02417","O78H9IMT2125UK_02424","O78US_03186"
"dinI_2","","DNA damage-inducible protein I","4","4","1","1","921","","","","245","245","245","O78H9China_00733","O78H9HPVN24_01165","O78H9IMT2125UK_01180","O78US_01944"
"moeA","","molybdenum::molybdopterin ligase","4","4","1","1","1173","","","","1235","1235","1235","O78H9China_00470","O78H9HPVN24_00902","O78H9IMT2125UK_00874","O78US_01640"
"flgA","","flagellar biosynthesis; assembly of basal-body periplasmic P ring","4","4","1","1","910","","","","659","659","659","O78H9China_00745","O78H9HPVN24_01177","O78H9IMT2125UK_01192","O78US_01956"
"yciN","","putative protein","4","4","1","1","3163","","","","251","251","251","O78H9China_02132","O78H9HPVN24_01364","O78H9IMT2125UK_01385","O78US_02144"
"tig","","trigger factor; a molecular chaperone involved in cell division","4","4","1","1","4930","","","","1298","1298","1298","O78H9China_02799","O78H9HPVN24_00483","O78H9IMT2125UK_00453","O78US_01192"
"setA","","sugar / lactose efflux transporter SetA","4","4","1","1","3934","","","","1160","1301","1204","O78H9China_01335","O78H9HPVN24_00114","O78H9IMT2125UK_00080","O78US_00803"
"fusA","","elongation factor G","4","4","1","1","1850","","","","2114","2114","2114","O78H9China_02379","O78H9HPVN24_03570","O78H9IMT2125UK_03643","O78US_04306"
"yafC","","putative DNA-binding transcriptional regulator LYSR-type","4","4","1","1","4748","","","","914","914","914","O78H9China_03567","O78H9HPVN24_00251","O78H9IMT2125UK_00221","O78US_00947"
"cspA","","CspA DNA-binding transcriptional activator","4","4","1","1","1630","","","","212","212","212","O78H9China_03951","O78H9HPVN24_03795","O78H9IMT2125UK_03871","O78US_04538"
"uup","","ATP-binding protein with possible role in replication","4","4","1","1","1029","","","","1907","1907","1907","O78H9China_00620","O78H9HPVN24_01054","O78H9IMT2125UK_01064","O78US_01831"
"ligB_1","","DNA ligase","4","4","1","1","1536","","","","1517","1517","1517","O78H9China_02678","O78H9HPVN24_03891","O78H9IMT2125UK_03969","O78US_04635"
"hemA","","glutamyl-tRNA reductase","4","4","1","1","787","","","","1256","1256","1256","O78H9China_04513","O78H9HPVN24_01298","O78H9IMT2125UK_01317","O78US_02078"
"sgcB","","putative enzyme IIB component of PTS","4","4","1","1","4421","","","","278","278","278","O78H9China_04283","O78H9HPVN24_04664","O78H9IMT2125UK_04727","O78US_00555"
"group_3317","","hypothetical protein","4","4","1","1","3372","","","","206","206","206","O78H9China_01970","O78H9HPVN24_01526","O78H9IMT2125UK_01554","O78US_02307"
"yibI","","putative inner membrane protein","4","4","1","1","1586","","","","362","362","362","O78H9China_02730","O78H9HPVN24_03839","O78H9IMT2125UK_03917","O78US_04583"
"ygeH_2","","putative transcriptional regulator","4","4","1","1","2380","","","","461","461","461","O78H9China_03266","O78H9HPVN24_03010","O78H9IMT2125UK_03102","O78US_03763"
"djlA","","chaperone with DnaK","4","4","1","1","3920","","","","815","836","820","O78H9China_01353","O78H9HPVN24_00096","O78H9IMT2125UK_00062","O78US_00785"
"pbpG","","penicillin-binding protein 7","4","4","1","1","3581","","","","932","932","932","O78H9China_00365","O78H9HPVN24_02250","O78H9IMT2125UK_02257","O78US_03022"
"eco","","ecotin monomer; serine protease inhibitor","4","4","1","1","2850","","","","488","488","488","O78H9China_01951","O78H9HPVN24_02350","O78H9IMT2125UK_02356","O78US_03121"
"rpsN","","30S ribosomal subunit protein S14","4","4","1","1","1884","","","","305","305","305","O78H9China_04729","O78H9HPVN24_03537","O78H9IMT2125UK_03610","O78US_04273"
"abgB","","p-aminobenzoyl-glutamate hydrolase subunit B","4","4","1","1","3234","","","","1445","1445","1445","O78H9China_02063","O78H9HPVN24_01434","O78H9IMT2125UK_01457","O78US_02213"
"wzxE","","lipid III flippase","4","4","1","1","5164","","","","1250","1250","1250","O78H9China_04048","O78H9HPVN24_04044","O78H9IMT2125UK_04121","O78US_04790"
"csdL","","CSD sulfur transfer protein","4","4","1","1","2425","","","","806","806","806","O78H9China_03742","O78H9HPVN24_02967","O78H9IMT2125UK_03052","O78US_03714"
"ycaO","","protein involved in beta-methylthiolation of ribosomal protein S12","4","4","1","1","1074","","","","1760","1760","1760","O78H9China_00573","O78H9HPVN24_01007","O78H9IMT2125UK_01015","O78US_01784"
"rplA","","50S ribosomal subunit protein L1","4","4","1","1","4105","","","","704","704","704","O78H9China_04860","O78H9HPVN24_04247","O78H9IMT2125UK_04342","O78US_00150"
"spaS_1","","Surface presentation of antigens protein SpaS","4","4","1","1","2367","","","","362","362","362","O78H9China_03279","O78H9HPVN24_03023","O78H9IMT2125UK_03114","O78US_03776"
"acpP_2","","Acyl carrier protein","4","4","1","1","2206","","","","248","248","248","O78H9China_03136","O78H9HPVN24_03199","O78H9IMT2125UK_03264","O78US_03926"
"ribF","","bifunctional riboflavin kinase / FMN adenylyltransferase","4","4","1","1","4284","","","","875","941","924","O78H9China_01386","O78H9HPVN24_00063","O78H9IMT2125UK_00030","O78US_00753"
"ysaA","","putative hydrogenase, 4Fe-4S ferredoxin-type component","4","4","1","1","1613","","","","473","473","473","O78H9China_03970","O78H9HPVN24_03814","O78H9IMT2125UK_03890","O78US_04557"
"mrdA","","cell shape; peptidoglycan synthetase; penicillin-binding protein 2","4","4","1","1","3797","","","","1901","1901","1901","O78H9China_03487","O78H9HPVN24_00676","O78H9IMT2125UK_00649","O78US_01410"
"yheO","","putative DNA-binding transcriptional regulator","4","4","1","1","1844","","","","722","722","722","O78H9China_02385","O78H9HPVN24_03576","O78H9IMT2125UK_03649","O78US_04312"
"yhbT","","putative lipid carrier protein","4","4","1","1","2019","","","","524","524","524","O78H9China_03038","O78H9HPVN24_03393","O78H9IMT2125UK_03465","O78US_04122"
"hspQ","","heat shock protein, hemimethylated DNA-binding protein","4","4","1","1","1012","","","","317","317","317","O78H9China_00637","O78H9HPVN24_01071","O78H9IMT2125UK_01081","O78US_01848"
"argG","","argininosuccinate synthase","4","4","1","1","2004","","","","1343","1343","1343","O78H9China_03019","O78H9HPVN24_03413","O78H9IMT2125UK_03484","O78US_04141"
"ygiD","","putative dioxygenase","4","4","1","1","2141","","","","815","815","815","O78H9China_03206","O78H9HPVN24_03268","O78H9IMT2125UK_03333","O78US_03995"
"yecH","","putative protein","4","4","1","1","3084","","","","239","239","239","O78H9China_00083","O78H9HPVN24_01980","O78H9IMT2125UK_02018","O78US_02785"
"srlR_1","","Glucitol operon repressor","4","4","1","1","3535","","","","779","779","779","O78H9China_00317","O78H9HPVN24_02202","O78H9IMT2125UK_02208","O78US_02974"
"mtlR","","MtlR DNA-binding transcriptional repressor","4","4","1","1","1583","","","","587","587","587","O78H9China_02727","O78H9HPVN24_03842","O78H9IMT2125UK_03920","O78US_04586"
"group_334","","hypothetical protein","4","4","1","1","4292","","","","425","779","513","O78H9China_01394","O78H9HPVN24_00056","O78H9IMT2125UK_00022","O78US_00745"
